iter	RMSE
0	1.866923752
1	1.856442343
2	1.84526024
3	1.835875996
4	1.828068576
5	1.820846488
6	1.813364624
7	1.807720328
8	1.80376187
9	1.798921661
10	1.793212776
11	1.788437596
12	1.781625646
13	1.77740436
14	1.77416154
15	1.76871777
16	1.763085494
17	1.758331729
18	1.753505278
19	1.749212783
20	1.74476463
21	1.742556505
22	1.736525272
23	1.733826419
24	1.728359924
25	1.726163981
26	1.724074777
27	1.71989195
28	1.717027759
29	1.715174904
30	1.711609814
31	1.709083685
32	1.703886799
33	1.703071315
34	1.701838749
35	1.698981413
36	1.693669999
37	1.689966224
38	1.686545158
39	1.684469066
40	1.680918154
41	1.676821829
42	1.673366157
43	1.670395739
44	1.668419984
45	1.665252655
46	1.662931467
47	1.660949553
48	1.658131596
49	1.652526179
50	1.650136713
51	1.647948683
52	1.64669339
53	1.644526091
54	1.643544203
55	1.642473661
56	1.637985824
57	1.637834457
58	1.63615343
59	1.634776779
60	1.63382101
61	1.632769811
62	1.629093027
63	1.625374731
64	1.622706765
65	1.620423694
66	1.620239044
67	1.617944946
68	1.616953863
69	1.613704129
70	1.61131285
71	1.608135976
72	1.606574171
73	1.605280441
74	1.602639044
75	1.601158028
76	1.599374191
77	1.597147879
78	1.59336492
79	1.592507251
80	1.589507067
81	1.587264839
82	1.586396024
83	1.583680814
84	1.579702337
85	1.578464768
86	1.574044074
87	1.57241293
88	1.569095377
89	1.568124019
90	1.566287363
91	1.564137033
92	1.560310497
93	1.55748492
94	1.555099506
95	1.55434811
96	1.550597872
97	1.550135138
98	1.549838623
99	1.54882713
100	1.545628601
101	1.544883503
102	1.543358456
103	1.54078243
104	1.537879066
105	1.537729515
106	1.534272129
107	1.533397171
108	1.53338515
109	1.528241384
110	1.526414319
111	1.522118339
112	1.522039102
113	1.519131977
114	1.518305217
115	1.51622282
116	1.515787121
117	1.511446398
118	1.50902461
119	1.507555354
120	1.505236627
121	1.50137624
122	1.500377394
123	1.500222721
124	1.499488764
125	1.498247837
126	1.49684711
127	1.494968204
128	1.493876743
129	1.491776776
130	1.490591096
131	1.488110021
132	1.487703833
133	1.48471353
134	1.481665784
135	1.479527694
136	1.476462133
137	1.473748062
138	1.470245416
139	1.467282761
140	1.46592864
141	1.463016235
142	1.460944101
143	1.46093232
144	1.460799292
145	1.460433987
146	1.457847166
147	1.454733317
148	1.45348937
149	1.453083249
150	1.451017457
151	1.448838857
152	1.448517983
153	1.446787507
154	1.446499935
155	1.440391284
156	1.437785298
157	1.437009852
158	1.436412207
159	1.435556261
160	1.432922399
161	1.432767175
162	1.431165476
163	1.430355377
164	1.428816461
165	1.426426524
