iter	Passed	Remaining
0	23	23125
1	45	22526
2	65	21777
3	87	21677
4	108	21638
5	130	21559
6	151	21465
7	172	21390
8	193	21329
9	214	21255
10	236	21246
11	257	21213
12	277	21106
13	298	21021
14	319	20950
15	339	20889
16	360	20827
17	380	20784
18	401	20746
19	423	20727
20	443	20680
21	464	20633
22	485	20635
23	506	20601
24	528	20593
25	548	20559
26	568	20503
27	589	20475
28	610	20444
29	631	20408
30	652	20381
31	673	20365
32	694	20344
33	714	20292
34	734	20262
35	755	20241
36	776	20199
37	797	20180
38	817	20151
39	838	20114
40	858	20079
41	878	20045
42	899	20021
43	920	20000
44	942	19995
45	962	19961
46	983	19947
47	1004	19922
48	1024	19890
49	1045	19861
50	1066	19841
51	1087	19821
52	1108	19804
53	1128	19771
54	1149	19750
55	1170	19733
56	1190	19701
57	1211	19682
58	1232	19662
59	1253	19636
60	1273	19601
61	1294	19589
62	1315	19565
63	1336	19542
64	1357	19531
65	1378	19503
66	1399	19483
67	1419	19460
68	1440	19433
69	1460	19407
70	1481	19385
71	1501	19347
72	1522	19328
73	1542	19302
74	1563	19284
75	1583	19256
76	1604	19234
77	1625	19216
78	1646	19195
79	1667	19177
80	1688	19152
81	1708	19130
82	1729	19106
83	1750	19085
84	1770	19061
85	1791	19039
86	1812	19022
87	1832	18995
88	1853	18976
89	1874	18949
90	1894	18922
91	1915	18907
92	1935	18879
93	1956	18854
94	1977	18837
95	1998	18822
96	2019	18800
97	2039	18774
98	2060	18751
99	2081	18731
100	2102	18716
101	2124	18702
102	2145	18681
103	2165	18655
104	2186	18633
105	2207	18614
106	2227	18592
107	2248	18573
108	2269	18548
109	2290	18530
110	2310	18507
111	2331	18483
112	2351	18460
113	2372	18435
114	2391	18404
115	2412	18382
116	2432	18359
117	2453	18337
118	2474	18318
119	2495	18297
120	2513	18262
121	2535	18246
122	2555	18223
123	2576	18200
124	2596	18178
125	2618	18163
126	2639	18144
127	2660	18124
128	2680	18101
129	2701	18080
130	2724	18071
131	2747	18067
132	2770	18059
133	2792	18048
134	2816	18046
135	2839	18039
136	2862	18030
137	2884	18019
138	2908	18015
139	2931	18005
140	2953	17994
141	2976	17987
142	2999	17979
143	3022	17968
144	3045	17956
145	3067	17945
146	3090	17934
147	3113	17923
148	3136	17914
149	3159	17905
150	3182	17891
151	3204	17878
152	3227	17866
153	3249	17853
154	3272	17839
155	3294	17824
156	3317	17811
157	3340	17799
158	3363	17789
159	3385	17771
160	3408	17759
161	3430	17746
162	3453	17731
163	3475	17717
164	3498	17703
165	3521	17692
166	3544	17679
167	3566	17661
168	3588	17646
169	3611	17630
170	3632	17611
171	3655	17599
172	3678	17582
173	3700	17567
174	3722	17550
175	3745	17534
176	3767	17518
177	3789	17499
178	3811	17482
179	3834	17469
180	3856	17452
181	3879	17436
182	3901	17418
183	3924	17402
184	3947	17389
185	3970	17374
186	3992	17357
187	4015	17341
188	4037	17326
189	4060	17308
190	4082	17290
191	4104	17274
192	4127	17260
193	4150	17245
194	4172	17225
195	4195	17211
196	4218	17193
197	4241	17178
198	4263	17160
199	4286	17144
200	4309	17130
201	4331	17111
202	4353	17093
203	4376	17077
204	4399	17060
205	4421	17043
206	4444	17024
207	4466	17008
208	4490	16993
209	4512	16974
210	4535	16957
211	4557	16938
212	4579	16922
213	4602	16904
214	4624	16886
215	4647	16869
216	4669	16849
217	4691	16829
218	4714	16812
219	4737	16796
220	4759	16776
221	4781	16757
222	4804	16739
223	4826	16720
224	4849	16703
225	4872	16686
226	4894	16667
227	4916	16646
228	4938	16627
229	4960	16606
230	4982	16587
231	5005	16568
232	5027	16550
233	5051	16535
234	5073	16516
235	5096	16500
236	5119	16481
237	5141	16461
238	5163	16442
239	5186	16425
240	5209	16405
241	5231	16387
242	5253	16364
243	5273	16340
244	5293	16314
245	5314	16289
246	5334	16262
247	5355	16238
248	5376	16214
249	5396	16189
250	5416	16163
251	5436	16136
252	5457	16113
253	5477	16088
254	5497	16062
255	5518	16037
256	5540	16017
257	5561	15994
258	5581	15967
259	5601	15942
260	5622	15919
261	5642	15894
262	5663	15869
263	5682	15842
264	5704	15821
265	5725	15798
266	5745	15773
267	5764	15745
268	5785	15722
269	5807	15701
270	5828	15678
271	5849	15654
272	5870	15633
273	5890	15608
274	5912	15588
275	5933	15565
276	5954	15542
277	5975	15519
278	5996	15495
279	6016	15471
280	6037	15448
281	6057	15422
282	6077	15398
283	6097	15373
284	6118	15349
285	6138	15325
286	6158	15300
287	6178	15275
288	6199	15251
289	6218	15225
290	6239	15202
291	6259	15176
292	6279	15151
293	6299	15126
294	6320	15104
295	6341	15081
296	6362	15059
297	6382	15035
298	6403	15012
299	6424	14989
300	6443	14962
301	6465	14942
302	6486	14920
303	6505	14894
304	6526	14871
305	6546	14848
306	6567	14825
307	6588	14802
308	6609	14780
309	6630	14757
310	6652	14737
311	6672	14713
312	6693	14691
313	6714	14668
314	6735	14646
