id,X,Y,M,V
2800,-279.1538,-54.588123,93.72127,0.40099007
2801,284.3615,-319.5162,81.21575,0.4148132
2802,-254.53984,154.5747,27.701004,0.38196805
2803,173.48259,294.56213,25.799171,0.39097828
2804,-174.20494,192.97185,110.7698,0.41229475
2805,268.4283,-146.72163,41.23099,0.49263233
2806,-205.58809,231.09103,98.24604,0.6428773
2807,-249.64001,-314.37982,28.119526,0.6085529
2808,-185.78566,140.84386,143.67633,0.263031
2809,104.62871,372.1483,44.49606,0.66686296
2810,66.91322,107.06743,107.64852,0.7036361
2811,-243.0253,275.41296,83.201225,0.20250347
2812,235.2874,325.93707,86.102684,0.46128508
2813,-36.08726,-6.452877,45.529545,0.20250347
2814,-51.33901,-160.81961,32.86719,0.68643826
2815,-334.01828,-258.81268,93.87149,0.7053651
2816,8.130366,-244.68584,37.067616,0.52798426
2817,-51.084618,-169.14795,131.97339,0.39001817
2818,-5.7593718,279.13962,67.110405,0.59420997
2819,180.48256,-255.5205,124.29493,0.38886437
2820,235.41339,-359.12854,70.99223,0.63316554
2821,-336.1343,-56.501793,87.6586,0.20250347
2822,347.55734,186.98682,33.704315,0.41053817
2823,351.9186,-135.86307,94.797874,0.5546436
2824,275.12045,-352.235,39.228943,0.7106555
2825,219.65286,-380.48965,50.15108,0.43995294
2826,201.2895,223.43254,54.876007,0.55433065
2827,217.31142,205.35574,107.29119,0.45025176
2828,338.12808,166.4665,130.08249,0.58158827
2829,-106.717834,388.1776,81.09163,0.41486683
2830,249.76288,-34.419117,53.457783,0.4114116
2831,-155.1943,151.22781,84.14538,0.70504564
2832,346.9598,-319.50323,35.283154,0.53445274
2833,-363.57785,-187.02635,124.511765,0.44108132
2834,204.95827,-320.59503,111.37427,0.70460874
2835,-176.66469,-3.9254065,84.319336,0.519669
2836,-394.12375,320.55045,120.59779,0.38578033
2837,112.55644,394.7992,86.94746,0.37301198
2838,-169.03166,-275.01202,124.42567,0.20250347
2839,-155.02481,320.93054,88.18353,0.44956788
2840,387.4052,260.04172,113.10246,0.44791064
2841,-1.9361103,-283.77188,33.447712,0.484971
2842,-125.66982,318.6943,139.46594,0.6540154
2843,-410.32413,-284.89322,56.576286,0.4038526
2844,-345.19492,340.315,89.48507,0.36301118
2845,117.04624,-163.52963,21.50066,0.20383099
2846,160.5488,-335.49643,63.59644,0.20250347
2847,268.41742,-196.94542,94.65658,0.5537254
2848,123.534874,74.422195,129.72316,0.45227978
2849,312.95285,13.300531,124.283775,0.20250347
2850,-351.39288,-37.929855,58.43212,0.20250347
2851,373.7491,-112.37451,83.952866,0.6181183
2852,-350.3324,-206.89413,63.853413,0.20250347
2853,350.45557,-324.26874,35.91064,0.46499735
2854,-423.4565,22.239258,101.12956,0.60461074
2855,-278.15604,270.52927,136.24956,0.4921403
2856,-347.44333,-276.29605,125.60413,0.41575992
2857,288.5108,-124.53266,102.06749,0.4794041
2858,-148.62164,165.8454,83.82855,0.66477966
2859,-50.807175,-154.07086,66.83787,0.524021
2860,-376.39133,117.6576,35.658657,0.20250347
2861,382.90353,57.610382,113.05837,0.54455024
2862,55.39821,57.157356,84.8552,0.6988425
2863,-313.94412,339.83295,117.94482,0.52009803
2864,-312.4609,-72.204994,20.274925,0.43271703
2865,386.96576,-316.13358,62.065437,0.6279236
2866,155.2327,-103.87072,112.729324,0.46817067
2867,331.18616,210.2454,101.82598,0.39907897
2868,97.654724,-121.13006,53.43004,0.5618995
2869,45.036995,84.11736,20.314013,0.65679413
2870,-288.64554,-178.9617,135.09802,0.49229604
2871,-152.76895,11.947273,69.56108,0.20250347
2872,-335.7683,-92.805786,122.45034,0.20250347
2873,148.88611,-401.7418,133.66412,0.5429155
2874,86.899826,-112.6062,99.37218,0.38714844
2875,-201.8416,-324.0395,49.668316,0.732566
2876,13.472617,-309.2527,119.03247,0.21592218
2877,201.55608,225.98695,75.02426,0.39215317
2878,-172.20859,-209.71996,19.590967,0.42496786
2879,304.1742,314.90015,75.27865,0.20250347
2880,383.72632,-299.5017,137.06828,0.40815422
2881,-342.22006,7.5271974,104.205666,0.4929953
2882,-280.04025,257.4043,126.65335,0.6857203
2883,-210.29108,-25.997206,126.76183,0.5109366
2884,371.5827,211.07748,85.7669,0.49484122
2885,112.050186,-127.22643,100.320435,0.5679976
2886,201.78334,-302.61285,95.16456,0.41191566
2887,-262.0502,47.86571,128.52934,0.6540243
2888,-200.49968,216.03922,97.55234,0.38023984
2889,372.44656,-17.463627,106.27007,0.34439605
2890,308.95,-42.547585,73.013245,0.65895766
2891,90.65441,231.32138,23.700733,0.5547239
2892,-40.144028,-35.08021,69.10021,0.3905913
2893,-342.0426,-299.06592,114.6405,0.20250347
2894,-269.9706,-309.88205,80.95094,0.4814738
2895,-204.42754,-381.81802,118.56275,0.39189324
2896,-282.69702,-63.627075,114.35434,0.5789314
2897,154.94064,-376.60422,128.51993,0.20250347
2898,100.40658,-328.59396,83.92293,0.6516127
2899,-179.11815,204.881,60.419456,0.4604647
2900,337.71567,-177.90637,130.7834,0.5016231
2901,175.19597,162.36765,52.039955,0.42248246
2902,-393.4771,-294.64102,99.232574,0.57816815
2903,-374.62936,90.92628,104.916176,0.6849148
2904,-308.29724,364.9005,60.271065,0.65349543
2905,307.29544,-92.382744,99.563835,0.20250347
2906,-47.775036,-149.09592,70.76332,0.53184015
2907,-169.89388,-168.45193,98.50562,0.71537036
2908,62.498207,257.31363,81.914185,0.42712462
2909,-12.764063,360.9497,69.45909,0.5159597
2910,-78.432335,-5.588909,128.38393,0.5815287
2911,32.196667,-312.09268,138.41476,0.22935551
2912,-329.40137,378.55148,125.74388,0.42776677
2913,12.246019,118.26225,121.99856,0.39826363
2914,-341.24786,337.99857,46.891876,0.23381808
2915,-306.63843,-274.96118,36.345055,0.257862
2916,-167.46725,-227.69736,49.610313,0.609087
2917,-94.32113,-192.8672,65.93877,0.20250347
2918,115.546844,-375.0191,136.7504,0.649569
2919,146.55246,225.45152,122.54716,0.20250347
2920,157.40657,-287.21445,35.10761,0.20291263
2921,118.50157,8.628929,111.84807,0.20250347
2922,-107.529495,-100.36039,134.23021,0.20250347
2923,-177.53755,377.24222,123.63249,0.26111954
2924,210.32852,-370.77524,92.801155,0.3214515
2925,-234.23238,195.7814,40.976475,0.39708152
2926,-312.4064,342.81647,96.53065,0.64578086
2927,-276.4192,314.9575,81.2044,0.5094052
2928,-364.3035,-161.90942,110.27402,0.20250347
