id,X,Y,M,V
2800,-250.70656,-45.712006,109.25642,0.39782274
2801,319.46588,-270.33176,89.72543,0.40011275
2802,-232.34529,120.539925,24.506207,0.3587654
2803,161.21109,271.4553,24.390955,0.39282468
2804,-159.89206,183.60622,127.07496,0.40066227
2805,243.20082,-137.9134,46.92364,0.6059218
2806,-192.34982,223.69472,111.0457,0.8152871
2807,-203.9928,-327.69394,36.2804,0.7962709
2808,-168.826,113.93301,173.46796,0.29934835
2809,117.19859,366.94498,51.454605,0.8337888
2810,61.579597,107.93447,123.97911,0.9352282
2811,-217.63597,254.73985,88.641655,0.20147736
2812,219.5573,310.62524,104.766594,0.57263035
2813,-19.26743,-4.485308,49.689552,0.20143153
2814,-49.41786,-148.31795,41.30274,0.86812973
2815,-315.1313,-269.3589,109.15031,0.9114109
2816,2.7612212,-236.71054,47.67959,0.6032019
2817,-58.24994,-157.32681,153.12657,0.39697275
2818,21.37324,261.91678,79.432655,0.73518944
2819,180.93709,-259.89407,130.8543,0.40066478
2820,226.37569,-371.73175,79.25223,0.7812527
2821,-307.5662,-31.965822,90.13352,0.19946122
2822,341.73425,165.56868,38.859493,0.38869163
2823,328.87744,-121.52266,109.564026,0.6443311
2824,301.8246,-321.54593,48.647713,0.94676304
2825,214.43806,-379.86472,55.573635,0.45388633
2826,208.15744,208.8341,60.13834,0.60704094
2827,219.50322,192.58365,126.03549,0.45443392
2828,339.83472,155.67937,151.06213,0.8037832
2829,-104.0802,398.93726,88.00564,0.40224743
2830,237.77127,-38.84757,57.733173,0.39465252
2831,-144.12175,148.94923,98.47507,0.93893856
2832,371.827,-275.28888,43.217865,0.59103215
2833,-362.9876,-183.48877,136.04433,0.46186614
2834,203.11119,-316.10016,121.08782,0.9704187
2835,-158.08195,-6.552417,98.00178,0.6106718
2836,-383.4265,282.82736,146.04736,0.39644313
2837,116.09579,395.0428,90.20321,0.3278596
2838,-135.22585,-261.241,140.94727,0.19778606
2839,-148.96478,318.79956,95.91153,0.48689818
2840,379.18893,252.24414,130.6075,0.5327679
2841,-2.2351992,-286.9909,40.85624,0.59612215
2842,-101.8695,306.90073,162.48029,0.79353154
2843,-387.82224,-292.14008,61.67258,0.3955058
2844,-333.8671,307.05057,101.17619,0.3302346
2845,128.933,-159.78073,24.416311,0.21401164
2846,136.66205,-319.25095,63.28086,0.20208906
2847,274.66925,-204.63634,104.671,0.6445568
2848,126.00333,53.092533,156.19179,0.45561704
2849,296.3589,12.987772,141.89537,0.19720381
2850,-319.29556,-27.29734,60.46475,0.26743302
2851,372.71674,-130.18558,92.671646,0.8153633
2852,-336.64886,-190.37924,63.495705,0.20456502
2853,366.7328,-284.47205,41.1852,0.5860244
2854,-384.70215,41.10477,113.579346,0.8111068
2855,-271.67435,248.58296,165.50223,0.5863114
2856,-325.58585,-268.49396,139.78902,0.40095627
2857,269.79373,-104.66959,120.30326,0.62523264
2858,-147.98528,163.06456,97.71613,0.82753253
2859,-41.39458,-139.36852,76.7335,0.5951737
2860,-333.26312,118.86232,36.69481,0.21128662
2861,366.7932,56.491447,128.80122,0.62977403
2862,64.82873,58.078022,96.349434,0.94248575
2863,-316.5391,324.48108,140.44118,0.5980532
2864,-275.71997,-53.940987,24.9641,0.43095106
2865,387.83826,-272.7342,70.57989,0.8054738
2866,164.90027,-80.527725,135.27768,0.57554555
2867,325.24646,189.75029,114.00214,0.39620495
2868,106.82177,-111.415215,60.0881,0.6089728
2869,35.52726,74.49345,25.016613,0.8336421
2870,-287.12473,-179.25937,160.02351,0.6202529
2871,-136.1731,8.748987,73.68988,0.19802934
2872,-325.8848,-83.128044,130.74062,0.22272879
2873,126.267265,-390.15997,147.5993,0.6331113
2874,83.24929,-116.66866,111.568016,0.36932892
2875,-175.14983,-315.94086,58.57516,0.95845926
2876,8.061568,-295.69653,127.44898,0.2639542
2877,207.08829,205.87032,83.360535,0.3671647
2878,-145.14917,-235.6901,24.97661,0.40492487
2879,285.90802,286.83875,76.80589,0.19961813
2880,397.79327,-236.04199,144.30255,0.4059289
2881,-310.11804,9.528639,119.677795,0.60742617
2882,-271.46262,241.63834,154.74467,0.92976004
2883,-207.71349,-24.921185,154.97458,0.5840162
2884,372.17206,202.4629,102.036865,0.59293276
2885,122.453766,-125.77532,117.18846,0.6414569
2886,177.68936,-298.02408,104.90804,0.40391788
2887,-235.91713,44.06811,146.99307,0.82023406
2888,-182.97897,193.74654,106.61187,0.34361482
2889,361.00214,-24.33524,123.071304,0.3444965
2890,295.79984,-41.818935,82.85486,0.82092446
2891,84.680916,227.5695,24.483969,0.6835422
2892,-25.553705,-33.77131,76.47524,0.3967685
2893,-318.45648,-308.76846,124.47181,0.21841286
2894,-230.91566,-321.84943,87.11279,0.60167164
2895,-174.20894,-337.5374,127.92842,0.4103703
2896,-272.75824,-41.934593,136.48843,0.7238042
2897,132.75076,-345.64603,144.08778,0.20492604
2898,100.230225,-321.24002,97.75128,0.8237613
2899,-160.74193,192.67633,66.43626,0.5427407
2900,330.20212,-171.30545,146.74872,0.58797455
2901,179.12538,146.66124,57.45962,0.40557507
2902,-366.42886,-304.5162,108.703606,0.7081778
2903,-338.58783,83.61536,124.29631,0.82970214
2904,-292.98618,380.6155,68.31116,0.79368776
2905,257.61417,-83.73736,110.350914,0.1977429
2906,-43.996563,-129.48729,85.61425,0.5832702
2907,-163.26915,-175.66629,108.10024,0.9741754
2908,69.69056,243.6066,88.262375,0.4298669
2909,32.861107,382.5621,74.37344,0.6018787
2910,-77.12471,-20.392078,154.47992,0.7927321
2911,36.00521,-301.85443,155.58794,0.2719374
2912,-301.7735,371.60934,150.05965,0.4105511
2913,26.405275,93.34421,144.5308,0.39264098
2914,-330.61124,303.0352,50.131687,0.22164713
2915,-281.03415,-287.54575,42.107357,0.2989352
2916,-149.11949,-232.76869,63.32468,0.77959687
2917,-72.24612,-178.61795,68.85449,0.19556496
2918,109.51655,-346.12253,154.4024,0.91435075
2919,131.19691,198.54823,146.91124,0.20036499
2920,154.22842,-283.3925,39.064922,0.2245254
2921,105.414185,-9.33629,122.745766,0.19752301
2922,-92.39348,-111.436905,153.31633,0.21421307
2923,-167.3816,377.08963,138.17181,0.26837125
2924,181.96994,-365.62485,94.132614,0.30507037
2925,-237.31194,180.53914,47.956577,0.39773712
2926,-298.7887,333.0278,118.9064,0.79977685
2927,-278.15796,305.15103,90.199936,0.59053874
2928,-367.32202,-139.31314,121.07983,0.23454708
2929,21.494415,368.91977,114.48588,0.42134637
2930,-109.18698,-71.698944,86.31093,0.7802681
2931,-159.3479,321.72873,24.207764,0.7365382
2932,187.18552,330.7915,148.32568,0.5865983
2933,-17.381977,51.050148,162.57271,0.40579677
2934,278.7441,-208.63496,77.088646,0.2018508
2935,-300.6265,-292.27136,83.599915,0.5727723
2936,-189.17307,-299.46606,73.20046,0.40418583
2937,390.55222,-1.416456,38.640747,0.60537416
2938,176.11035,-208.31169,60.989002,0.8006756
2939,-10.988518,-302.16327,161.94182,0.6037523
2940,-254.05278,132.20836,63.48532,0.7353509
2941,-218.11511,-47.13113,25.03301,0.39591852
2942,-317.3121,325.15244,141.42625,0.551164
2943,-349.70395,-211.72728,110.41628,0.80381954
2944,63.71226,238.71747,164.18475,0.41546965
2945,-240.86565,403.04495,134.11217,0.7974315
2946,232.04254,-343.53088,132.53017,0.5721936
2947,32.09399,-326.22165,56.58361,0.7823177
2948,145.94307,272.36258,49.333176,0.1978256
2949,197.84348,355.5372,151.22942,0.54742813
2950,40.988724,127.60748,115.355,0.56075776
2951,258.9275,401.74094,65.21837,0.73446506
2952,-19.792744,-350.20645,103.62928,0.87491465
2953,151.70602,30.053534,169.72618,0.80696464
2954,189.10606,-320.882,27.211073,0.59559965
2955,-23.889267,212.92668,105.9637,0.6140875
2956,-57.632538,-350.34753,70.36941,0.2257919
2957,-220.6076,-383.0956,99.88083,0.27443784
2958,-369.34036,188.90486,141.5914,0.7834408
2959,-170.06744,-128.63196,77.1913,0.50996363
2960,-295.23746,-143.72868,101.40348,0.5997996
2961,-358.83337,61.696495,58.117622,0.73122394
2962,-186.22855,-214.49284,50.28748,0.584438
2963,2.712682,-370.14084,101.56894,0.5590363
2964,-23.624435,-81.6995,25.216738,0.6028493
2965,90.27336,184.98883,128.57918,0.7673969
2966,-237.91905,-243.14398,182.36812,0.8219937
2967,347.80032,280.69113,48.21378,0.58166903
2968,116.699066,381.00684,137.67279,0.23072423
2969,22.538067,269.48932,165.01942,0.25705355
2970,-2.8755877,-182.4343,153.00716,0.9105879
2971,149.41525,-115.83146,56.080334,0.19968233
2972,77.80783,-178.51112,84.21163,0.78249866
2973,88.42244,-104.259384,155.2659,0.39563414
2974,-118.23198,14.315887,114.15134,0.8436875
2975,324.2552,-108.32765,75.796844,0.40680376
2976,238.49641,-251.89102,43.692307,0.19709522
2977,-226.15675,-176.12645,105.32131,0.2019661
2978,71.79442,-102.12737,51.69619,0.38342875
2979,1.2681974,209.36578,104.7534,0.8143038
2980,313.70544,-242.88493,151.2943,0.40037593
2981,303.29153,218.60204,69.6947,0.8740294
2982,-266.49802,347.63748,67.17062,0.5718935
2983,-122.89929,-348.9715,30.443691,0.8125146
2984,256.56296,264.58032,31.518478,0.8938298
2985,-0.16306971,-231.4031,42.294304,0.19766456
2986,25.74926,22.080456,104.96446,0.6094591
2987,-142.82405,-95.12744,61.034233,0.40554035
2988,321.14624,-11.268452,144.3802,0.40879908
2989,84.7315,-195.6634,24.764347,0.44171205
2990,266.1266,388.55212,133.6848,0.637831
